time_unix,x,y,heading,velocity_cmd
1749038207.607758,4.112,-0.039,1.637,0.000
1749038207.805545,4.106,0.019,1.683,0.000
1749038207.906280,4.104,0.044,1.663,0.000
1749038208.105843,4.101,0.088,1.618,0.000
1749038208.205012,4.100,0.107,1.597,0.000
1749038208.404508,4.099,0.146,1.571,0.000
1749038208.504183,4.099,0.165,1.575,0.000
1749038208.703986,4.099,0.206,1.596,0.000
1749038211.790642,4.067,0.840,1.608,0.000
1749038211.989956,4.066,0.881,1.592,0.000
1749038212.089462,4.065,0.901,1.586,0.000
1749038212.289175,4.065,0.941,1.588,0.000
1749038212.388136,4.065,0.960,1.594,0.000
1749038212.586928,4.063,1.001,1.616,0.000
1749038212.686641,4.062,1.023,1.624,0.000
1749038212.885129,4.060,1.064,1.637,0.000
1749038212.984993,4.058,1.084,1.642,0.000
1749038213.183984,4.055,1.124,1.649,0.000
1749038213.284057,4.054,1.144,1.643,0.000
1749038213.482953,4.051,1.185,1.624,0.000
1749038213.582795,4.050,1.206,1.614,0.000
1749038213.781682,4.049,1.247,1.597,0.000
1749038213.881595,4.048,1.268,1.590,0.000
1749038214.080629,4.047,1.307,1.588,0.000
1749038214.180192,4.047,1.326,1.593,0.000
1749038214.380084,4.046,1.367,1.612,0.000
1749038214.479810,4.045,1.388,1.623,0.000
1749038214.678829,4.042,1.430,1.640,0.000
1749038214.778079,4.041,1.451,1.646,0.000
1749038214.977256,4.037,1.491,1.650,0.000
1749038215.077190,4.036,1.511,1.645,0.000
1749038215.276153,4.033,1.552,1.626,0.000
1749038215.375532,4.032,1.572,1.618,0.000
1749038215.574769,4.031,1.614,1.602,0.000
1749038215.674770,4.030,1.634,1.595,0.000
1749038215.873593,4.029,1.674,1.590,0.000
1749038215.973683,4.029,1.694,1.593,0.000
1749038216.172675,4.028,1.734,1.611,0.000
1749038216.272841,4.027,1.756,1.620,0.000
1749038216.472309,4.024,1.798,1.636,0.000
1749038216.571683,4.023,1.818,1.641,0.000
1749038216.770303,4.020,1.858,1.647,0.000
1749038216.869833,4.018,1.878,1.643,0.000
1749038217.068848,4.016,1.919,1.628,0.000
1749038217.168511,4.015,1.939,1.619,0.000
1749038217.368188,4.013,1.981,1.610,0.000
1749038217.467797,4.012,2.002,1.646,0.000
1749038217.665461,4.003,2.048,1.878,0.000
1749038217.763940,3.995,2.069,2.015,0.000
1749038217.962282,3.977,2.099,2.201,0.000
1749038218.061983,3.966,2.113,2.243,0.000
1749038218.261926,3.941,2.143,2.297,0.000
1749038218.361206,3.927,2.159,2.340,0.000
1749038218.561800,3.894,2.189,2.472,0.000
1749038218.761112,3.857,2.213,2.651,0.000
1749038218.861061,3.837,2.222,2.736,0.000
1749038219.060562,3.802,2.235,2.892,0.000
1749038219.160316,3.784,2.238,2.959,0.000
